"HID","UID","Name","CommonName","TaxID","Count","Rank","Group","Phylum","Class","Order","Family","Genus"
14614735,100038,"Oncorhynchus mykiss","Rainbow trout",8022,8,"species","Fish","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus"
14614671,100038,"Anguilla dieffenbachii","Longfin eel",61127,759,"species","Fish","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla"
14614306,100038,"Gobiomorphus","Bullies",86236,1430,"genus","Fish","Chordata","Actinopteri","Gobiiformes","Eleotridae","Gobiomorphus"
14619458,100038,"Gobiomorphus cotidianus","Common bully",226931,32,"species","Fish","Chordata","Actinopteri","Gobiiformes","Eleotridae","Gobiomorphus"
14614330,100038,"Polyprion oxygeneios","Hapuku; groper",334912,197,"species","Fish","Chordata","Actinopteri","Acropomatiformes","Polyprionidae","Polyprion"
14618815,100039,"Anguilla","Eels",7935,31,"genus","Fish","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla"
14614920,100039,"Anguilla dieffenbachii","Longfin eel",61127,41,"species","Fish","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla"
14614310,100039,"Gobiomorphus","Bullies",86236,767,"genus","Fish","Chordata","Actinopteri","Gobiiformes","Eleotridae","Gobiomorphus"
14614419,100040,"Anguilla dieffenbachii","Longfin eel",61127,211,"species","Fish","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla"
14614313,100040,"Gobiomorphus","Bullies",86236,425,"genus","Fish","Chordata","Actinopteri","Gobiiformes","Eleotridae","Gobiomorphus"
14619477,100040,"Gobiomorphus cotidianus","Common bully",226931,325,"species","Fish","Chordata","Actinopteri","Gobiiformes","Eleotridae","Gobiomorphus"
14614443,100041,"Anguilla dieffenbachii","Longfin eel",61127,482,"species","Fish","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla"
14614316,100041,"Gobiomorphus","Bullies",86236,1815,"genus","Fish","Chordata","Actinopteri","Gobiiformes","Eleotridae","Gobiomorphus"
14619488,100041,"Gobiomorphus cotidianus","Common bully",226931,97,"species","Fish","Chordata","Actinopteri","Gobiiformes","Eleotridae","Gobiomorphus"
